route_id,direction_id,stop_order,subline_num,route_pattern_name,from_stop_id,from_station_id,from_stop_name,to_stop_id,to_station_id,to_stop_name,from_to_meters,cumulative_meters,from_to_miles,cumulative_miles,total_miles,ObjectId
Red,0,6,0,Alewife - Ashmont,70073,place-chmnl,Charles/MGH,70075,place-pktrm,Park Street,939.877604,9568.17389,0.584012867,5.945387618,17.62582455,206
Red,0,7,0,Alewife - Ashmont,70075,place-pktrm,Park Street,70077,place-dwnxg,Downtown Crossing,204.70619,9772.88008,0.127198529,6.072586147,17.62582455,207
Red,0,8,0,Alewife - Ashmont,70077,place-dwnxg,Downtown Crossing,70079,place-sstat,South Station,540.04725,10312.92733,0.335569804,6.40815595,17.62582455,208
Red,0,9,0,Alewife - Ashmont,70079,place-sstat,South Station,70081,place-brdwy,Broadway,1328.310627,11641.23796,0.825373958,7.233529908,17.62582455,209
Red,0,10,0,Alewife - Ashmont,70081,place-brdwy,Broadway,70083,place-andrw,Andrew,1383.988484,13025.22644,0.859970574,8.093500483,17.62582455,210
Red,0,11,0,Alewife - Ashmont,70083,place-andrw,Andrew,70085,place-jfk,JFK/UMass,1228.353275,14253.57972,0.763263339,8.856763822,17.62582455,211
Red,0,12,0,Alewife - Ashmont,70085,place-jfk,JFK/UMass,70087,place-shmnl,Savin Hill,1135.295127,15388.87484,0.705439687,9.562203508,17.62582455,212
Red,0,13,-1,Alewife - Ashmont,70087,place-shmnl,Savin Hill,70089,place-fldcr,Fields Corner,1602.327403,16991.20225,0.995640089,10.5578436,17.62582455,213
Red,0,14,-1,Alewife - Ashmont,70089,place-fldcr,Fields Corner,70091,place-smmnl,Shawmut,942.830172,17934.03242,0.585847508,11.14369111,17.62582455,214
Red,0,15,-1,Alewife - Ashmont,70091,place-smmnl,Shawmut,70093,place-asmnl,Ashmont,972.921294,18906.95371,0.604545264,11.74823637,17.62582455,215
Red,0,12,0,Alewife - Braintree,70095,place-jfk,JFK/UMass,70097,place-nqncy,North Quincy,5703.767642,19993.50462,3.5441569,12.4233878,17.62582455,244
Red,0,13,1,Alewife - Braintree,70097,place-nqncy,North Quincy,70099,place-wlsta,Wollaston,1278.836769,21272.34139,0.794632328,13.21802013,17.62582455,245
Red,0,14,1,Alewife - Braintree,70099,place-wlsta,Wollaston,70101,place-qnctr,Quincy Center,2083.897226,23356.23862,1.294873704,14.51289383,17.62582455,246
Red,0,15,1,Alewife - Braintree,70101,place-qnctr,Quincy Center,70103,place-qamnl,Quincy Adams,2108.399076,25464.63769,1.310098448,15.82299228,17.62582455,247
Red,0,16,1,Alewife - Braintree,70103,place-qamnl,Quincy Adams,70105,place-brntn,Braintree,2901.377442,28366.01513,1.80283236,17.62582464,17.62582455,248
Green,0,7,0,Medford/Tufts - Heath Street,70206,place-north,North Station,70204,place-haecl,Haymarket,377.611301,7272.548639,0.234636784,4.518952218,8.577628845,266
Green,0,8,0,Medford/Tufts - Heath Street,70204,place-haecl,Haymarket,70202,place-gover,Government Center,408.474636,7681.023275,0.253814372,4.77276659,8.577628845,267
Green,0,9,0,Medford/Tufts - Heath Street,70202,place-gover,Government Center,70199,place-pktrm,Park Street,457.004197,8138.027472,0.283969243,5.056735833,8.577628845,268
Green,0,10,0,Medford/Tufts - Heath Street,70199,place-pktrm,Park Street,70159,place-boyls,Boylston,394.981945,8533.009417,0.245430402,5.302166235,8.577628845,269
Green,0,11,0,Medford/Tufts - Heath Street,70159,place-boyls,Boylston,70157,place-armnl,Arlington,594.466154,9127.475571,0.369384143,5.671550378,8.577628845,270
Green,0,12,0,Medford/Tufts - Heath Street,70157,place-armnl,Arlington,70155,place-coecl,Copley,569.240503,9696.716074,0.35370965,6.025260028,8.577628845,271
Green,0,13,0,Medford/Tufts - Heath Street,70155,place-coecl,Copley,70239,place-prmnl,Prudential,685.811473,10382.52755,0.426143493,6.45140352,8.577628845,272
Green,0,14,-2,Medford/Tufts - Heath Street,70239,place-prmnl,Prudential,70241,place-symcl,Symphony,422.700394,10805.22794,0.262653848,6.714057368,8.577628845,273
Green,0,15,-2,Medford/Tufts - Heath Street,70241,place-symcl,Symphony,70243,place-nuniv,Northeastern University,535.362739,11340.59068,0.332658983,7.046716352,8.577628845,274
Green,0,16,-2,Medford/Tufts - Heath Street,70243,place-nuniv,Northeastern University,70245,place-mfa,Museum of Fine Arts,471.914187,11812.50487,0.293233881,7.339950233,8.577628845,275
Green,0,17,-2,Medford/Tufts - Heath Street,70245,place-mfa,Museum of Fine Arts,70247,place-lngmd,Longwood Medical Area,430.963339,12243.46821,0.267788204,7.607738436,8.577628845,276
Green,0,18,-2,Medford/Tufts - Heath Street,70247,place-lngmd,Longwood Medical Area,70249,place-brmnl,Brigham Circle,426.320819,12669.78903,0.264903476,7.872641912,8.577628845,277
Green,0,19,-2,Medford/Tufts - Heath Street,70249,place-brmnl,Brigham Circle,70251,place-fenwd,Fenwood Road,120.939197,12790.72822,0.075148133,7.947790045,8.577628845,278
Green,0,20,-2,Medford/Tufts - Heath Street,70251,place-fenwd,Fenwood Road,70253,place-mispk,Mission Park,310.167507,13100.89573,0.192729154,8.140519199,8.577628845,279
Green,0,21,-2,Medford/Tufts - Heath Street,70253,place-mispk,Mission Park,70255,place-rvrwy,Riverway,330.45603,13431.35176,0.205335857,8.345855056,8.577628845,280
Green,0,22,-2,Medford/Tufts - Heath Street,70255,place-rvrwy,Riverway,70257,place-bckhl,Back of the Hill,235.353259,13666.70502,0.146241735,8.492096791,8.577628845,281
Green,0,23,-2,Medford/Tufts - Heath Street,70257,place-bckhl,Back of the Hill,70260,place-hsmnl,Heath Street,142.325514,13809.03053,0.088436974,8.580533765,8.577628845,282
Mattapan,0,0,0,Ashmont - Mattapan,70261,place-asmnl,Ashmont,70263,place-cedgr,Cedar Grove,523.028862,523.028862,0.324995068,0.324995068,2.507342637,307
Mattapan,0,1,0,Ashmont - Mattapan,70263,place-cedgr,Cedar Grove,70265,place-butlr,Butler,937.944689,1460.973551,0.58281181,0.907806877,2.507342637,308
Mattapan,0,2,0,Ashmont - Mattapan,70265,place-butlr,Butler,70267,place-miltt,Milton,467.485859,1928.45941,0.290482246,1.198289123,2.507342637,309
Mattapan,0,3,0,Ashmont - Mattapan,70267,place-miltt,Milton,70269,place-cenav,Central Avenue,518.762931,2447.222341,0.322344341,1.520633464,2.507342637,310
Mattapan,0,4,0,Ashmont - Mattapan,70269,place-cenav,Central Avenue,70271,place-valrd,Valley Road,684.335538,3131.557879,0.425226389,1.945859853,2.507342637,311
Mattapan,0,5,0,Ashmont - Mattapan,70271,place-valrd,Valley Road,70273,place-capst,Capen Street,488.069051,3619.62693,0.303272048,2.249131901,2.507342637,312
Mattapan,0,6,0,Ashmont - Mattapan,70273,place-capst,Capen Street,70275,place-matt,Mattapan,415.549898,4035.176828,0.258210736,2.507342637,2.507342637,313
